"http://www.wikidata.org/entity/Q491713","Q491713","bras de mer"
"http://www.wikidata.org/entity/Q666943","Q666943","associated commune"
"http://www.wikidata.org/entity/Q695850","Q695850","base aérienne militaire"
"http://www.wikidata.org/entity/Q1070167","Q1070167","Subdivisions des Samoa"
"http://www.wikidata.org/entity/Q47508609","Q47508609","administrative subdivision of French Polynesia"
"http://www.wikidata.org/entity/Q42523","Q42523","atoll"
"http://www.wikidata.org/entity/Q62447","Q62447","aérodrome"
"http://www.wikidata.org/entity/Q1226252","Q1226252","tied island"
"http://www.wikidata.org/entity/Q34038","Q34038","chute d'eau"
"http://www.wikidata.org/entity/Q35509","Q35509","grotte"
"http://www.wikidata.org/entity/Q47521","Q47521","stream"
"http://www.wikidata.org/entity/Q108325","Q108325","chapelle"
"http://www.wikidata.org/entity/Q120560","Q120560","minor basilica"
"http://www.wikidata.org/entity/Q166735","Q166735","swamp"
"http://www.wikidata.org/entity/Q719487","Q719487","collectivité d'outre-mer"
"http://www.wikidata.org/entity/Q207694","Q207694","musée d'art"
"http://www.wikidata.org/entity/Q133346","Q133346","frontière"
"http://www.wikidata.org/entity/Q3089219","Q3089219","frontière maritime"
"http://www.wikidata.org/entity/Q12413618","Q12413618","international border"
"http://www.wikidata.org/entity/Q751708","Q751708","village in the United States"
"http://www.wikidata.org/entity/Q3257686","Q3257686","localité"
"http://www.wikidata.org/entity/Q15618465","Q15618465","district of American Samoa"
"http://www.wikidata.org/entity/Q18247357","Q18247357","group of structures or buildings"
"http://www.wikidata.org/entity/Q55030674","Q55030674","county of American Samoa"
"http://www.wikidata.org/entity/Q57821","Q57821","fortification"
"http://www.wikidata.org/entity/Q37901","Q37901","détroit"
"http://www.wikidata.org/entity/Q515","Q515","city"
"http://www.wikidata.org/entity/Q5119","Q5119","capital"
"http://www.wikidata.org/entity/Q179049","Q179049","réserve naturelle"
"http://www.wikidata.org/entity/Q160091","Q160091","plaine"
"http://www.wikidata.org/entity/Q207524","Q207524","îlot"
"http://www.wikidata.org/entity/Q462778","Q462778","zone insulaire des États-Unis"
"http://www.wikidata.org/entity/Q615150","Q615150","Land-grant university"
"http://www.wikidata.org/entity/Q783733","Q783733","unincorporated territory"
"http://www.wikidata.org/entity/Q1048835","Q1048835","political territorial entity"
"http://www.wikidata.org/entity/Q1154710","Q1154710","stade de football"
"http://www.wikidata.org/entity/Q1244442","Q1244442","school building"
"http://www.wikidata.org/entity/Q1336920","Q1336920","collège communautaire"
"http://www.wikidata.org/entity/Q17166756","Q17166756","United States congressional district"
"http://www.wikidata.org/entity/Q56242215","Q56242215","Catholic cathedral"
"http://www.wikidata.org/entity/Q14350","Q14350","radio station"
"http://www.wikidata.org/entity/Q31615","Q31615","cove"
"http://www.wikidata.org/entity/Q16887036","Q16887036","gap"
"http://www.wikidata.org/entity/Q33506","Q33506","musée"
"http://www.wikidata.org/entity/Q473972","Q473972","aire protégée"
"http://www.wikidata.org/entity/Q1410668","Q1410668","National Wildlife Refuge"
"http://www.wikidata.org/entity/Q240313","Q240313","battery"
"http://www.wikidata.org/entity/Q655686","Q655686","commercial building"
"http://www.wikidata.org/entity/Q1093829","Q1093829","city of the United States"
"http://www.wikidata.org/entity/Q1137809","Q1137809","palais de justice"
"http://www.wikidata.org/entity/Q1324633","Q1324633","base navale"
"http://www.wikidata.org/entity/Q1901835","Q1901835","seat of government"
"http://www.wikidata.org/entity/Q15243209","Q15243209","historic district"
"http://www.wikidata.org/entity/Q16831714","Q16831714","government building"
"http://www.wikidata.org/entity/Q21518270","Q21518270","state or insular area capital in the United States"
"http://www.wikidata.org/entity/Q3947","Q3947","house"
"http://www.wikidata.org/entity/Q56061","Q56061","administrative territorial entity"
"http://www.wikidata.org/entity/Q9826","Q9826","high school"
"http://www.wikidata.org/entity/Q39715","Q39715","phare"
"http://www.wikidata.org/entity/Q161243","Q161243","territoire dépendant"
"http://www.wikidata.org/entity/Q55075651","Q55075651","upland"
"http://www.wikidata.org/entity/Q1496967","Q1496967","territorial entity"
"http://www.wikidata.org/entity/Q4287745","Q4287745","medical organization"
"http://www.wikidata.org/entity/Q34918903","Q34918903","parc national des États-Unis"
"http://www.wikidata.org/entity/Q131263","Q131263","caserne"
"http://www.wikidata.org/entity/Q811979","Q811979","architectural structure"
"http://www.wikidata.org/entity/Q2142152","Q2142152","temple"
"http://www.wikidata.org/entity/Q2511322","Q2511322","lycée"
"http://www.wikidata.org/entity/Q3551775","Q3551775","université en France"
"http://www.wikidata.org/entity/Q27553873","Q27553873","Présidence de la Polynésie française"
"http://www.wikidata.org/entity/Q31855","Q31855","institut de recherche"
"http://www.wikidata.org/entity/Q37654","Q37654","marché"
"http://www.wikidata.org/entity/Q44782","Q44782","port"
"http://www.wikidata.org/entity/Q104698","Q104698","dorsale médio-océanique"
"http://www.wikidata.org/entity/Q3064474","Q3064474","province des Fidji"
"http://www.wikidata.org/entity/Q5477586","Q5477586","fracture zone"
"http://www.wikidata.org/entity/Q6617741","Q6617741","WWF ecoregion"
"http://www.wikidata.org/entity/Q186685","Q186685","marae"
"http://www.wikidata.org/entity/Q2221906","Q2221906","geographic location"
"http://www.wikidata.org/entity/Q57208193","Q57208193","section of an island"
"http://www.wikidata.org/entity/Q15911738","Q15911738","centrale hydroélectrique"
